UniProt,GeneName,Group,FullName
Q01538,MYT1,Non-kinase,Myelin transcription factor 1
P28698,MZF1,Non-kinase,Myeloid zinc finger 1
Q9BQ15,NABP2,Non-kinase,Nucleic acid binding protein 2
E9PAV3,NACA,Non-kinase,Nascent polypeptide associated complex subunit alpha
Q13765,NACA,Non-kinase,Nascent polypeptide associated complex subunit alpha
O95544,NADK,Non-kinase,Nad kinase
Q9UJ70,NAGK,Non-kinase,N-acetylglucosamine kinase
Q9H9S0,NANOG,Non-kinase,Nanog homeobox
P49321,NASP,Non-kinase,Nuclear autoantigenic sperm protein
O60934,NBN,Non-kinase,Nibrin
Q14596,NBR1,Non-kinase,Nbr1 autophagy cargo receptor
P13591,NCAM1,Non-kinase,Neural cell adhesion molecule 1
P42695,NCAPD3,Non-kinase,Non-smc condensin ii complex subunit d3
Q9BPX3,NCAPG,Non-kinase,Non-smc condensin i complex subunit g
Q15003,NCAPH,Non-kinase,Non-smc condensin i complex subunit h
Q6IBW4,NCAPH2,Non-kinase,Non-smc condensin ii complex subunit h2
Q09161,NCBP1,Non-kinase,Nuclear cap binding protein subunit 1
Q53F19,NCBP3,Non-kinase,Nuclear cap binding subunit 3
P14598,NCF1,Non-kinase,Neutrophil cytosolic factor 1
P19878,NCF2,Non-kinase,Neutrophil cytosolic factor 2
Q15080,NCF4,Non-kinase,Neutrophil cytosolic factor 4
P16333,NCK1,Non-kinase,Nck adaptor protein 1
Q9HCH0,NCKAP5L,Non-kinase,Nck associated protein 5 like
Q9NZQ3,NCKIPSD,Non-kinase,Nck interacting protein with sh3 domain
P19338,NCL,Non-kinase,Nucleolin
Q15788,NCOA1,Non-kinase,Nuclear receptor coactivator 1
Q15596,NCOA2,Non-kinase,Nuclear receptor coactivator 2
Q9Y6Q9,NCOA3,Non-kinase,Nuclear receptor coactivator 3
Q14686,NCOA6,Non-kinase,Nuclear receptor coactivator 6
O75376,NCOR1,Non-kinase,Nuclear receptor corepressor 1
Q9Y618,NCOR2,Non-kinase,Nuclear receptor corepressor 2
Q92542,NCSTN,Non-kinase,Nicastrin
O14777,NDC80,Non-kinase,Ndc80 kinetochore complex component
Q9NXR1,NDE1,Non-kinase,Nude neurodevelopment protein 1
Q9GZM8,NDEL1,Non-kinase,Nude neurodevelopment protein 1 like 1
Q9NV92,NDFIP2,Non-kinase,Nedd4 family interacting protein 2
Q92597,NDRG1,Non-kinase,N-myc downstream regulated 1
Q9UN36,NDRG2,Non-kinase,Ndrg family member 2
Q9UI09,NDUFA12,Non-kinase,Nadh:ubiquinone oxidoreductase subunit a12
O95139,NDUFB6,Non-kinase,Nadh:ubiquinone oxidoreductase subunit b6
O75306,NDUFS2,Non-kinase,Nadh:ubiquinone oxidoreductase core subunit s2
O43181,NDUFS4,Non-kinase,Nadh:ubiquinone oxidoreductase subunit s4
P49821,NDUFV1,Non-kinase,Nadh:ubiquinone oxidoreductase core subunit v1
P19404,NDUFV2,Non-kinase,Nadh:ubiquinone oxidoreductase core subunit v2
P56181,NDUFV3,Non-kinase,Nadh:ubiquinone oxidoreductase subunit v3
Q8NHV4,NEDD1,Non-kinase,Nedd1 gamma-tubulin ring complex targeting factor
P46934,NEDD4,Non-kinase,Nedd4 e3 ubiquitin protein ligase
Q96PU5,NEDD4L,Non-kinase,Nedd4 like e3 ubiquitin protein ligase
Q15843,NEDD8,Non-kinase,Nedd8 ubiquitin like modifier
Q14511,NEDD9,Non-kinase,"Neural precursor cell expressed, developmentally down-regulated 9"
P12036,NEFH,Non-kinase,Neurofilament heavy chain
P07196,NEFL,Non-kinase,Neurofilament light chain
Q96FI4,NEIL1,Non-kinase,Nei like dna glycosylase 1
Q96PY6,NEK1,Other,Nima related kinase 1
P51955,NEK2,Other,Nima related kinase 2
P51956,NEK3,Other,Nima related kinase 3
Q6P3R8,NEK5,Other,Nima related kinase 5
Q9HC98,NEK6,Other,Nima related kinase 6
Q8TDX7,NEK7,Other,Nima related kinase 7
Q86SG6,NEK8,Other,Nima related kinase 8
Q8TD19,NEK9,Other,Nima related kinase 9
Q8NG66,NEK11,Other,Nima related kinase 11
Q9H3P2,NELFA,Non-kinase,Negative elongation factor complex member a
Q8IXH7,NELFCD,Non-kinase,Negative elongation factor complex member c/d
P18615,NELFE,Non-kinase,Negative elongation factor complex member e
P48681,NES,Non-kinase,Nestin
Q7Z628,NET1,Non-kinase,Neuroepithelial cell transforming 1
P21359,NF1,Non-kinase,Neurofibromin 1
P35240,NF2,Non-kinase,"Nf2, moesin-ezrin-radixin like (merlin) tumor suppressor"
O94916,NFAT5,Non-kinase,Nuclear factor of activated t cells 5
O95644,NFATC1,Non-kinase,Nuclear factor of activated t cells 1
Q12968,NFATC3,Non-kinase,Nuclear factor of activated t cells 3
Q14934,NFATC4,Non-kinase,Nuclear factor of activated t cells 4
Q16621,NFE2,Non-kinase,"Nuclear factor, erythroid 2"
Q14494,NFE2L1,Non-kinase,Nfe2 like bzip transcription factor 1
Q16236,NFE2L2,Non-kinase,Nfe2 like bzip transcription factor 2
P19838,NFKB1,Non-kinase,Nuclear factor kappa b subunit 1
Q00653,NFKB2,Non-kinase,Nuclear factor kappa b subunit 2
P25963,NFKBIA,Non-kinase,Nfkb inhibitor alpha
Q15653,NFKBIB,Non-kinase,Nfkb inhibitor beta
P23511,NFYA,Non-kinase,Nuclear transcription factor y subunit alpha
Q8N5V2,NGEF,Non-kinase,Neuronal guanine nucleotide exchange factor
P08138,NGFR,Non-kinase,Nerve growth factor receptor
Q9H9Q4,NHEJ1,Non-kinase,Non-homologous end joining factor 1
O14745,NHERF1,Non-kinase,Nherf family pdz scaffold protein 1
Q15599,NHERF2,Non-kinase,Nherf family pdz scaffold protein 2
Q6T4R5,NHS,Non-kinase,Nhs actin remodeling regulator
Q9BZQ8,NIBAN1,Non-kinase,Niban apoptosis regulator 1
Q96TA1,NIBAN2,Non-kinase,Niban apoptosis regulator 2
Q9BYG3,NIFK,Non-kinase,Nucleolar protein interacting with the fha domain of mki67
Q8IY84,NIM1K,CAMK,Nim1 serine/threonine protein kinase
Q9Y2I6,NINL,Non-kinase,Ninein like
Q969F2,NKD2,Non-kinase,Nkd inhibitor of wnt signaling pathway 2
P52952,NKX2-5,Non-kinase,Nk2 homeobox 5
Q99801,NKX3-1,Non-kinase,Nk3 homeobox 1
Q8N0W4,NLGN4X,Non-kinase,Neuroligin 4 x-linked
Q9UBE8,NLK,CMGC,Nemo like kinase
Q96P20,NLRP3,Non-kinase,Nlr family pyrin domain containing 3
P15531,NME1,Non-kinase,Nme/nm23 nucleoside diphosphate kinase 1
P22392,NME2,Non-kinase,Nme/nm23 nucleoside diphosphate kinase 2
Q9HAN9,NMNAT1,Non-kinase,Nicotinamide nucleotide adenylyltransferase 1
P30419,NMT1,Non-kinase,N-myristoyltransferase 1
Q9ULX3,NOB1,Non-kinase,Nin1 (rpn12) binding protein 1 homolog
O60936,NOL3,Non-kinase,Nucleolar protein 3
Q14978,NOLC1,Non-kinase,Nucleolar and coiled-body phosphoprotein 1
Q9NZM5,NOP53,Non-kinase,Nop53 ribosome biogenesis factor
P29475,NOS1,Non-kinase,Nitric oxide synthase 1
P35228,NOS2,Non-kinase,Nitric oxide synthase 2
P29474,NOS3,Non-kinase,Nitric oxide synthase 3
Q9Y314,NOSIP,Non-kinase,Nitric oxide synthase interacting protein
P46531,NOTCH1,Non-kinase,Notch receptor 1
Q04721,NOTCH2,Non-kinase,Notch receptor 2
Q9UNW9,NOVA2,Non-kinase,Nova alternative splicing regulator 2
Q9NPH5,NOX4,Non-kinase,Nadph oxidase 4
Q96PH1,NOX5,Non-kinase,Nadph oxidase 5
Q86UR1,NOXA1,Non-kinase,Nadph oxidase activator 1
Q8NFA2,NOXO1,Non-kinase,Nadph oxidase organizer 1
Q14207,NPAT,Non-kinase,"Nuclear protein, coactivator of histone transcription"
Q9Y5X5,NPFFR2,Non-kinase,Neuropeptide ff receptor 2
O15259,NPHP1,Non-kinase,Nephrocystin 1
O60500,NPHS1,Non-kinase,"Nphs1 adhesion molecule, nephrin"
P06748,NPM1,Non-kinase,Nucleophosmin 1
P16066,NPR1,RGC,Natriuretic peptide receptor 1
P15559,NQO1,Non-kinase,Nad(p)h quinone dehydrogenase 1
P20393,NR1D1,Non-kinase,Nuclear receptor subfamily 1 group d member 1
P55055,NR1H2,Non-kinase,Nuclear receptor subfamily 1 group h member 2
Q13133,NR1H3,Non-kinase,Nuclear receptor subfamily 1 group h member 3
Q96RI1,NR1H4,Non-kinase,Nuclear receptor subfamily 1 group h member 4
O75469,NR1I2,Non-kinase,Nuclear receptor subfamily 1 group i member 2
Q14994,NR1I3,Non-kinase,Nuclear receptor subfamily 1 group i member 3
P10588,NR2F6,Non-kinase,Nuclear receptor subfamily 2 group f member 6
P04150,NR3C1,Non-kinase,Nuclear receptor subfamily 3 group c member 1
P08235,NR3C2,Non-kinase,Nuclear receptor subfamily 3 group c member 2
P22736,NR4A1,Non-kinase,Nuclear receptor subfamily 4 group a member 1
P43354,NR4A2,Non-kinase,Nuclear receptor subfamily 4 group a member 2
Q92570,NR4A3,Non-kinase,Nuclear receptor subfamily 4 group a member 3
Q13285,NR5A1,Non-kinase,Nuclear receptor subfamily 5 group a member 1
O00482,NR5A2,Non-kinase,Nuclear receptor subfamily 5 group a member 2
P01111,NRAS,Non-kinase,"Nras proto-oncogene, gtpase"
Q15466,NR0B2,Non-kinase,Nuclear receptor subfamily 0 group b member 2
Q96F24,NRBF2,Non-kinase,Nuclear receptor binding factor 2
Q16612,NREP,Non-kinase,Neuronal regeneration related protein
Q16656,NRF1,Non-kinase,Nuclear respiratory factor 1
Q02297,NRG1,Non-kinase,Neuregulin 1
Q92686,NRGN,Non-kinase,Neurogranin
Q7Z2Y5,NRK,STE,Nik related kinase
P58400,NRXN1,Non-kinase,Neurexin 1
O96028,NSD2,Non-kinase,Nuclear receptor binding set domain protein 2
P46459,NSF,Non-kinase,"N-ethylmaleimide sensitive factor, vesicle fusing atpase"
Q9UNZ2,NSFL1C,Non-kinase,Nsfl1 cofactor
Q08J23,NSUN2,Non-kinase,Nop2/sun rna methyltransferase 2
P04629,NTRK1,TK,Neurotrophic receptor tyrosine kinase 1
Q16620,NTRK2,TK,Neurotrophic receptor tyrosine kinase 2
O60285,NUAK1,CAMK,Nuak family kinase 1
Q9H093,NUAK2,CAMK,Nuak family kinase 2
Q9H1E3,NUCKS1,Non-kinase,Nuclear casein kinase and cyclin dependent kinase substrate 1
Q9Y266,NUDC,Non-kinase,"Nuclear distribution c, dynein complex regulator"
Q7Z417,NUFIP2,Non-kinase,Nuclear fmr1 interacting protein 2
Q14980,NUMA1,Non-kinase,Nuclear mitotic apparatus protein 1
P49757,NUMB,Non-kinase,Numb endocytic adaptor protein
Q9UKX7,NUP50,Non-kinase,Nucleoporin 50
P37198,NUP62,Non-kinase,Nucleoporin 62
P52948,NUP98,Non-kinase,Nucleoporin 98 and 96 precursor
P57740,NUP107,Non-kinase,Nucleoporin 107
Q8WUM0,NUP133,Non-kinase,Nucleoporin 133
P49790,NUP153,Non-kinase,Nucleoporin 153
Q8TEM1,NUP210,Non-kinase,Nucleoporin 210
P35658,NUP214,Non-kinase,Nucleoporin 214
Q9BXS6,NUSAP1,Non-kinase,Nucleolar and spindle associated protein 1
Q16625,OCLN,Non-kinase,Occludin
Q5BJF6,ODF2,Non-kinase,Outer dense fiber of sperm tails 2
O75665,OFD1,Non-kinase,Ofd1 centriole and centriolar satellite protein
Q8N543,OGFOD1,Non-kinase,2-oxoglutarate and iron dependent oxygenase domain containing 1
Q9NZT2,OGFR,Non-kinase,Opioid growth factor receptor
O15294,OGT,Non-kinase,O-linked n-acetylglucosamine (glcnac) transferase
P41143,OPRD1,Non-kinase,Opioid receptor delta 1
P41145,OPRK1,Non-kinase,Opioid receptor kappa 1
P41146,OPRL1,Non-kinase,Opioid related nociceptin receptor 1
P35372,OPRM1,Non-kinase,Opioid receptor mu 1
Q96CV9,OPTN,Non-kinase,Optineurin
Q96D31,ORAI1,Non-kinase,Orai calcium release-activated calcium modulator 1
Q13415,ORC1,Non-kinase,Origin recognition complex subunit 1
Q13416,ORC2,Non-kinase,Origin recognition complex subunit 2
Q9Y5N6,ORC6,Non-kinase,Origin recognition complex subunit 6
P22059,OSBP,Non-kinase,Oxysterol binding protein
Q969R2,OSBP2,Non-kinase,Oxysterol binding protein 2
Q9BXB4,OSBPL11,Non-kinase,Oxysterol binding protein like 11
Q92882,OSTF1,Non-kinase,Osteoclast stimulating factor 1
Q96FW1,OTUB1,Non-kinase,"Otu deubiquitinase, ubiquitin aldehyde binding 1"
Q96G74,OTUD5,Non-kinase,Otu deubiquitinase 5
Q96BN8,OTULIN,Non-kinase,Otu deubiquitinase with linear linkage specificity
O95747,OXSR1,STE,Oxidative stress responsive kinase 1
P30559,OXTR,Non-kinase,Oxytocin receptor
Q9UQ80,PA2G4,Non-kinase,Proliferation-associated 2g4
Q96E09,PABIR1,Non-kinase,Pp2a aalpha (ppp2r1a) and b55a (ppp2r2a) interacting phosphatase regulator 1
Q6VY07,PACS1,Non-kinase,Phosphofurin acidic cluster sorting protein 1
Q86VP3,PACS2,Non-kinase,Phosphofurin acidic cluster sorting protein 2
Q9BY11,PACSIN1,Non-kinase,Protein kinase c and casein kinase substrate in neurons 1
Q9UNF0,PACSIN2,Non-kinase,Protein kinase c and casein kinase substrate in neurons 2
Q9NWQ8,PAG1,Non-kinase,Phosphoprotein membrane anchor with glycosphingolipid microdomains 1
O60829,PAGE4,Non-kinase,Page family member 4
P00439,PAH,Non-kinase,Phenylalanine hydroxylase
P22234,PAICS,Non-kinase,Phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase
Q13153,PAK1,STE,P21 (rac1) activated kinase 1
Q13177,PAK2,STE,P21 (rac1) activated kinase 2
O75914,PAK3,STE,P21 (rac1) activated kinase 3
O96013,PAK4,STE,P21 (rac1) activated kinase 4
Q9P286,PAK5,STE,P21 (rac1) activated kinase 5
Q9NQU5,PAK6,STE,P21 (rac1) activated kinase 6
Q8WX93,PALLD,Non-kinase,"Palladin, cytoskeletal associated protein"
P19021,PAM,Non-kinase,Peptidylglycine alpha-amidating monooxygenase
Q504Q3,PAN2,Non-kinase,Poly(a) specific ribonuclease subunit pan2
Q96RD7,PANX1,Non-kinase,Pannexin 1
Q6TCH7,PAQR3,Non-kinase,Progestin and adipoq receptor family member 3
Q8TEW0,PARD3,Non-kinase,Par-3 family cell polarity regulator
Q9NPB6,PARD6A,Non-kinase,Par-6 family cell polarity regulator alpha
Q99497,PARK7,Non-kinase,Parkinsonism associated deglycase
O95453,PARN,Non-kinase,Poly(a)-specific ribonuclease
P09874,PARP1,Non-kinase,Poly(adp-ribose) polymerase 1
Q53GL7,PARP10,Non-kinase,Poly(adp-ribose) polymerase family member 10
Q9NVD7,PARVA,Non-kinase,Parvin alpha
Q96RG2,PASK,CAMK,Pas domain containing serine/threonine kinase
Q86TB9,PATL1,Non-kinase,"Pat1 homolog 1, processing body mrna decay factor"
Q96IZ0,PAWR,Non-kinase,Pro-apoptotic wt1 regulator
P23760,PAX3,Non-kinase,Paired box 3
P26367,PAX6,Non-kinase,Paired box 6
Q06710,PAX8,Non-kinase,Paired box 8
Q96KB5,PBK,Other,Pdz binding kinase
Q86U86,PBRM1,Non-kinase,Polybromo 1
Q96AQ6,PBXIP1,Non-kinase,Pbx homeobox interacting protein 1
Q15365,PCBP1,Non-kinase,Poly(rc) binding protein 1
Q15366,PCBP2,Non-kinase,Poly(rc) binding protein 2
O94913,PCF11,Non-kinase,Pcf11 cleavage and polyadenylation factor subunit
P35227,PCGF2,Non-kinase,Polycomb group ring finger 2
Q9BYE7,PCGF6,Non-kinase,Polycomb group ring finger 6
P35558,PCK1,Non-kinase,Phosphoenolpyruvate carboxykinase 1
Q15154,PCM1,Non-kinase,Pericentriolar material 1
P12004,PCNA,Non-kinase,Proliferating cell nuclear antigen
O95613,PCNT,Non-kinase,Pericentrin
P20941,PDC,Non-kinase,Phosducin
Q53EL6,PDCD4,Non-kinase,Programmed cell death 4
O14737,PDCD5,Non-kinase,Programmed cell death 5
Q8WUM4,PDCD6IP,Non-kinase,Programmed cell death 6 interacting protein
Q9BUL8,PDCD10,Non-kinase,Programmed cell death 10
Q13371,PDCL,Non-kinase,Phosducin like
Q14432,PDE3A,Non-kinase,Phosphodiesterase 3a
Q13370,PDE3B,Non-kinase,Phosphodiesterase 3b
P27815,PDE4A,Non-kinase,Phosphodiesterase 4a
Q07343,PDE4B,Non-kinase,Phosphodiesterase 4b
Q08493,PDE4C,Non-kinase,Phosphodiesterase 4c
Q08499,PDE4D,Non-kinase,Phosphodiesterase 4d
O76074,PDE5A,Non-kinase,Phosphodiesterase 5a
P18545,PDE6G,Non-kinase,Phosphodiesterase 6g
O60658,PDE8A,Non-kinase,Phosphodiesterase 8a
Q9Y233,PDE10A,Non-kinase,Phosphodiesterase 10a
Q9HCR9,PDE11A,Non-kinase,Phosphodiesterase 11a
P16234,PDGFRA,TK,Platelet derived growth factor receptor alpha
P09619,PDGFRB,TK,Platelet derived growth factor receptor beta
P08559,PDHA1,Non-kinase,Pyruvate dehydrogenase e1 subunit alpha 1
P29803,PDHA2,Non-kinase,Pyruvate dehydrogenase e1 subunit alpha 2
P30101,PDIA3,Non-kinase,Protein disulfide isomerase family a member 3
Q15084,PDIA6,Non-kinase,Protein disulfide isomerase family a member 6
Q8N165,PDIK1L,Other,Pdlim1 interacting kinase 1 like
Q15118,PDK1,Atypical,Pyruvate dehydrogenase kinase 1
Q15119,PDK2,Atypical,Pyruvate dehydrogenase kinase 2
Q15120,PDK3,Atypical,Pyruvate dehydrogenase kinase 3
Q16654,PDK4,Atypical,Pyruvate dehydrogenase kinase 4
Q9P0J1,PDP1,Non-kinase,Pyruvate dehydrogenase phosphatase catalytic subunit 1
O15530,PDPK1,AGC,3-phosphoinositide dependent protein kinase 1
Q9NTI5,PDS5B,Non-kinase,Pds5 cohesin associated factor b
P52945,PDX1,Non-kinase,Pancreatic and duodenal homeobox 1
Q5T2W1,PDZK1,Non-kinase,Pdz domain containing 1
Q15121,PEA15,Non-kinase,Proliferation and apoptosis adaptor protein 15
Q9H792,PEAK1,Other,Pseudopodium enriched atypical kinase 1
P30086,PEBP1,Non-kinase,Phosphatidylethanolamine binding protein 1
P16284,PECAM1,Non-kinase,Platelet and endothelial cell adhesion molecule 1
Q96FA3,PELI1,Non-kinase,Pellino e3 ubiquitin protein ligase 1
Q9HAT8,PELI2,Non-kinase,Pellino e3 ubiquitin protein ligase family member 2
Q8IZL8,PELP1,Non-kinase,"Proline, glutamate and leucine rich protein 1"
O15055,PER2,Non-kinase,Period circadian regulator 2
P56645,PER3,Non-kinase,Period circadian regulator 3
P50542,PEX5,Non-kinase,Peroxisomal biogenesis factor 5
O75381,PEX14,Non-kinase,Peroxisomal biogenesis factor 14
O60825,PFKFB2,Non-kinase,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"
Q16875,PFKFB3,Non-kinase,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
P08237,PFKM,Non-kinase,"Phosphofructokinase, muscle"
Q01813,PFKP,Non-kinase,"Phosphofructokinase, platelet"
P07737,PFN1,Non-kinase,Profilin 1
P18669,PGAM1,Non-kinase,Phosphoglycerate mutase 1
P52209,PGD,Non-kinase,Phosphogluconate dehydrogenase
P00558,PGK1,Non-kinase,Phosphoglycerate kinase 1
P36871,PGM1,Non-kinase,Phosphoglucomutase 1
P06401,PGR,Non-kinase,Progesterone receptor
Q96KR7,PHACTR3,Non-kinase,Phosphatase and actin regulator 3
P35232,PHB1,Non-kinase,Prohibitin 1
Q99623,PHB2,Non-kinase,Prohibitin 2
O75151,PHF2,Non-kinase,Phd finger protein 2
Q8IWS0,PHF6,Non-kinase,Phd finger protein 6
Q9UPP1,PHF8,Non-kinase,Phd finger protein 8
O94880,PHF14,Non-kinase,Phd finger protein 14
Q9BVI0,PHF20,Non-kinase,Phd finger protein 20
Q9BUL5,PHF23,Non-kinase,Phd finger protein 23
O43175,PHGDH,Non-kinase,Phosphoglycerate dehydrogenase
P46020,PHKA1,Non-kinase,Phosphorylase kinase regulatory subunit alpha 1
Q16816,PHKG1,CAMK,Phosphorylase kinase catalytic subunit gamma 1
Q8WV24,PHLDA1,Non-kinase,Pleckstrin homology like domain family a member 1
O60346,PHLPP1,Non-kinase,Ph domain and leucine rich repeat protein phosphatase 1
O14813,PHOX2A,Non-kinase,Paired like homeobox 2a
Q9UBF8,PI4KB,Non-kinase,Phosphatidylinositol 4-kinase beta
O75925,PIAS1,Non-kinase,Protein inhibitor of activated stat 1
Q8N2W9,PIAS4,Non-kinase,Protein inhibitor of activated stat 4
Q9NRD5,PICK1,Non-kinase,Protein interacting with prkca 1
Q9HB75,PIDD1,Non-kinase,P53-induced death domain protein 1
Q6ZUJ8,PIK3AP1,Non-kinase,Phosphoinositide-3-kinase adaptor protein 1
O00443,PIK3C2A,Non-kinase,Phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
Q8NEB9,PIK3C3,Non-kinase,Phosphatidylinositol 3-kinase catalytic subunit type 3
P42336,PIK3CA,Non-kinase,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
P42338,PIK3CB,Non-kinase,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"
O00329,PIK3CD,Non-kinase,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
P48736,PIK3CG,Non-kinase,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma"
P27986,PIK3R1,Non-kinase,Phosphoinositide-3-kinase regulatory subunit 1
Q92569,PIK3R3,Non-kinase,Phosphoinositide-3-kinase regulatory subunit 3
Q5UE93,PIK3R6,Non-kinase,Phosphoinositide-3-kinase regulatory subunit 6
Q9Y2I7,PIKFYVE,Non-kinase,"Phosphoinositide kinase, fyve-type zinc finger containing"
P11309,PIM1,CAMK,"Pim-1 proto-oncogene, serine/threonine kinase"
Q9P1W9,PIM2,CAMK,"Pim-2 proto-oncogene, serine/threonine kinase"
Q86V86,PIM3,CAMK,"Pim-3 proto-oncogene, serine/threonine kinase"
Q9BSJ6,PIMREG,Non-kinase,Picalm interacting mitotic regulator
Q13526,PIN1,Non-kinase,"Peptidylprolyl cis/trans isomerase, nima-interacting 1"
Q9Y237,PIN4,Non-kinase,"Peptidylprolyl cis/trans isomerase, nima-interacting 4"
Q9BXM7,PINK1,Other,Pten induced kinase 1
Q96BK5,PINX1,Non-kinase,Pin2 (terf1) interacting telomerase inhibitor 1
P48426,PIP4K2A,Non-kinase,Phosphatidylinositol-5-phosphate 4-kinase type 2 alpha
P78356,PIP4K2B,Non-kinase,Phosphatidylinositol-5-phosphate 4-kinase type 2 beta
Q8TBX8,PIP4K2C,Non-kinase,Phosphatidylinositol-5-phosphate 4-kinase type 2 gamma
O14986,PIP5K1B,Non-kinase,Phosphatidylinositol-4-phosphate 5-kinase type 1 beta
O60331,PIP5K1C,Non-kinase,Phosphatidylinositol-4-phosphate 5-kinase type 1 gamma
Q00169,PITPNA,Non-kinase,Phosphatidylinositol transfer protein alpha
Q9UKF7,PITPNC1,Non-kinase,Phosphatidylinositol transfer protein cytoplasmic 1
O00562,PITPNM1,Non-kinase,Phosphatidylinositol transfer protein membrane associated 1
O43164,PJA2,Non-kinase,Praja ring finger ubiquitin ligase 2
P98161,PKD1,Non-kinase,"Polycystin 1, transient receptor potential channel interacting"
Q13563,PKD2,Non-kinase,"Polycystin 2, transient receptor potential cation channel"
Q9P0L9,PKD2L1,Non-kinase,"Polycystin 2 like 1, transient receptor potential cation channel"
P61925,PKIA,Non-kinase,Camp-dependent protein kinase inhibitor alpha
P14618,PKM,Non-kinase,Pyruvate kinase m1/2
Q99640,PKMYT1,Other,"Protein kinase, membrane associated tyrosine/threonine 1"
Q16512,PKN1,AGC,Protein kinase n1
Q16513,PKN2,AGC,Protein kinase n2
Q6P5Z2,PKN3,AGC,Protein kinase n3
Q13835,PKP1,Non-kinase,Plakophilin 1
Q99959,PKP2,Non-kinase,Plakophilin 2
Q9Y446,PKP3,Non-kinase,Plakophilin 3
P47712,PLA2G4A,Non-kinase,Phospholipase a2 group iva
P00749,PLAU,Non-kinase,"Plasminogen activator, urokinase"
Q9NQ66,PLCB1,Non-kinase,Phospholipase c beta 1
Q01970,PLCB3,Non-kinase,Phospholipase c beta 3
P19174,PLCG1,Non-kinase,Phospholipase c gamma 1
P16885,PLCG2,Non-kinase,Phospholipase c gamma 2
Q13393,PLD1,Non-kinase,Phospholipase d1
O14939,PLD2,Non-kinase,Phospholipase d2
Q15149,PLEC,Non-kinase,Plectin
P08567,PLEK,Non-kinase,Pleckstrin
Q9ULL1,PLEKHG1,Non-kinase,Pleckstrin homology and rhogef domain containing g1
Q9H7P9,PLEKHG2,Non-kinase,Pleckstrin homology and rhogef domain containing g2
Q3KR16,PLEKHG6,Non-kinase,Pleckstrin homology and rhogef domain containing g6
O60240,PLIN1,Non-kinase,Perilipin 1
Q99541,PLIN2,Non-kinase,Perilipin 2
O60664,PLIN3,Non-kinase,Perilipin 3
P53350,PLK1,Other,Polo like kinase 1
Q9NYY3,PLK2,Other,Polo like kinase 2
Q9H4B4,PLK3,Other,Polo like kinase 3
O00444,PLK4,Other,Polo like kinase 4
P26678,PLN,Non-kinase,Phospholamban
O43660,PLRG1,Non-kinase,Pleiotropic regulator 1
O15162,PLSCR1,Non-kinase,Phospholipid scramblase 1
Q9NRY6,PLSCR3,Non-kinase,Phospholipid scramblase 3
Q9NRQ2,PLSCR4,Non-kinase,Phospholipid scramblase 4
Q9UIW2,PLXNA1,Non-kinase,Plexin a1
O75051,PLXNA2,Non-kinase,Plexin a2
O43157,PLXNB1,Non-kinase,Plexin b1
Q13794,PMAIP1,Non-kinase,Phorbol-12-myristate-13-acetate-induced protein 1
P29590,PML,Non-kinase,Pml nuclear body scaffold
Q6P2M8,PNCK,CAMK,Pregnancy up-regulated nonubiquitous cam kinase
Q96T60,PNKP,Non-kinase,Polynucleotide kinase 3'-phosphatase
Q9NP80,PNPLA8,Non-kinase,Patatin like phospholipase domain containing 8
Q8TCS8,PNPT1,Non-kinase,Polyribonucleotide nucleotidyltransferase 1
P49005,POLD2,Non-kinase,"Dna polymerase delta 2, accessory subunit"
Q15054,POLD3,Non-kinase,"Dna polymerase delta 3, accessory subunit"
Q9BY77,POLDIP3,Non-kinase,Dna polymerase delta interacting protein 3
Q9Y253,POLH,Non-kinase,Dna polymerase eta
Q9UGP5,POLL,Non-kinase,Dna polymerase lambda
Q9NP87,POLM,Non-kinase,Dna polymerase mu
O15446,POLR1G,Non-kinase,Rna polymerase i subunit g
P24928,POLR2A,Non-kinase,Rna polymerase ii subunit a
O95707,POP4,Non-kinase,"Pop4 homolog, ribonuclease p/mrp subunit"
P14859,POU2F1,Non-kinase,Pou class 2 homeobox 1
P20265,POU3F2,Non-kinase,Pou class 3 homeobox 2
Q01860,POU5F1,Non-kinase,Pou class 5 homeobox 1
Q14863,POU6F1,Non-kinase,Pou class 6 homeobox 1
Q07869,PPARA,Non-kinase,Peroxisome proliferator activated receptor alpha
Q03181,PPARD,Non-kinase,Peroxisome proliferator activated receptor delta
P37231,PPARG,Non-kinase,Peroxisome proliferator activated receptor gamma
Q9UBK2,PPARGC1A,Non-kinase,Pparg coactivator 1 alpha
Q06203,PPAT,Non-kinase,Phosphoribosyl pyrophosphate amidotransferase
Q13136,PPFIA1,Non-kinase,Ptprf interacting protein alpha 1
Q8NEY8,PPHLN1,Non-kinase,Periphilin 1
